Rank,Country (or dependent territory),Population,Date,"% of world
population",Source
1,China,1367470000,10/24/2014,19%,Official population clock
2,India,1261420000,10/24/2014,17.50%,Population clock
3,United States,318964000,10/24/2014,4.43%,Official population clock
4,Indonesia,252164800,7/1/2014,3.50%,Official estimate
5,Brazil,203337000,10/24/2014,2.83%,Official population clock
6,Pakistan,188020000,7/1/2014,2.61%,Official annual projection
7,Nigeria,178517000,7/1/2014,2.48%,UN projection[6]
8,Bangladesh,157193000,10/24/2014,2.18%,Official population clock
9,Russian Federation,146149200,8/1/2014,2.03%,Official estimate
10,Japan,127090000,10/1/2014,1.77%,Monthly official estimate
11,Mexico,119713203,7/1/2014,1.66%,Official projection
12,Philippines,100440100,10/24/2014,1.40%,Official population clock
13,Viet Nam,89708900,7/1/2013,1.25%,Official estimate
14,Ethiopia,87952991,7/1/2014,1.22%,Official projection
15,Egypt,87371100,10/24/2014,1.21%,Official population clock
16,Germany,80767000,12/31/2013,1.12%,Official estimate
17,Iran,77838800,10/24/2014,1.08%,Official population clock
18,Turkey,76667864,12/31/2013,1.07%,Annual official estimate
19,"Democratic Republic of Congo",69360000,7/1/2014,0.96%,UN projection
20,France,66048000,10/1/2014,0.92%,Monthly official estimate
21,Thailand,64871000,7/1/2014,0.90%,Official estimate
22,United Kingdom,64105654,7/1/2013,0.89%,Annual official estimate
23,Italy,60780377,4/30/2014,0.84%,Monthly official estimate
24,South Africa,54002000,7/1/2014,0.75%,Official estimate
25,Myanmar,51419420,3/29/2014,0.71%,Preliminary 2014 census result
26,South Korea,50423955,7/1/2014,0.70%,Official projection
27,Colombia,47832200,10/24/2014,0.67%,Official population clock
28,Tanzania,47421786,7/1/2014,0.66%,Official Projection
29,Spain,46507800,1/1/2014,0.63%,Annual official estimate
30,Ukraine,42981850,8/1/2014,0.60%,Monthly official estimate
31,Argentina,42669500,7/1/2014,0.59%,Official annual projection
32,Kenya,41800000,7/1/2013,0.58%,Annual official estimate
33,Algeria,38700000,1/1/2014,0.54%,Official estimate
34,Poland,38496000,12/31/2013,0.53%,Official estimate
35,Sudan,37289406,7/1/2014,0.52%,Official annual projection
36,Uganda,36600000,7/1/2014,0.51%,Annual official estimate
37,Iraq,36004552,7/1/2014,0.50%,Official annual projection
38,Canada,35540419,7/1/2014,0.49%,Official estimate
39,Morocco,33414900,10/24/2014,0.46%,Official population clock
40,Peru,30814175,7/1/2014,0.43%,Official annual projection
41,Saudi Arabia,30770375,7/1/2014,0.43%,Official annual projection
42,Uzbekistan,30492800,1/1/2014,0.42%,Official estimate
43,Malaysia,30378300,10/24/2014,0.42%,Official population clock
44,Venezuela,30206307,6/30/2014,0.42%,Official annual projection
45,Ghana,27043093,7/1/2014,0.38%,Official annual projection
